project,summary,skills,key_features,concepts,project_type,github_url
gitea,"Gitea is a self-hosted all-in-one software development service that includes Git hosting, code review, team collaboration, package registry, and CI/CD. It aims to provide a painless experience for developers. The project is built using Go and supports various features like Git GUI, Git LFS, and Docker registry. It also integrates with other tools like GitHub Actions, Maven server, and npm registry.","[""Go"", ""TypeScript"", ""Vue""]","[""Git hosting"", ""Code review"", ""Team collaboration"", ""Package registry"", ""CI/CD""]","[""CI/CD"", ""Git"", ""Docker"", ""Self-hosted""]",Version Control System,https://github.com/go-gitea/gitea
element,"A Vue.js 2.0 UI Toolkit for Web, providing a set of reusable UI components. It is designed to help developers build web applications quickly and efficiently. The project utilizes Vue.js as its core framework. The toolkit offers a range of components and tools for building robust web interfaces.","[""Vue.js"", ""JavaScript""]","[""UI components"", ""Reusable components""]","[""UI Toolkit"", ""Component-based architecture""]",UI Toolkit,https://github.com/ElemeFE/element
core,"Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web.","[""JavaScript"", ""TypeScript"", ""Vue.js""]","[""UI building"", ""Web development""]","[""Frontend development""]",Frontend framework,https://github.com/vuejs/core
lx-music-desktop,LX Music is a desktop music player application built using Electron. It is developed using TypeScript and incorporates Vue for the user interface. The application provides a desktop-based music playing experience. It utilizes Electron for cross-platform compatibility.,"[""TypeScript"", ""JavaScript"", ""Electron"", ""Vue""]","[""Music Player""]","[""Desktop Application"", ""Cross-platform""]",Music Player Application,https://github.com/lyswhut/lx-music-desktop
slidev,Slidev is a project for creating presentation slides for developers. It utilizes markdown and provides a simple way to create slides. The project is built with a focus on developer experience. It allows developers to create slides using markdown and other features.,"[""TypeScript"", ""Vue"", ""Vite""]","[""Markdown support"", ""Presentation slides creation""]","[""Markdown rendering""]",Presentation software,https://github.com/slidevjs/slidev
uni-app,"uni-app is a cross-platform framework using Vue.js, allowing developers to write a single codebase and publish to multiple platforms including iOS, Android, and web. It supports various mini-programs and has a large community with thousands of plugins. The framework has two versions: uni-app and uni-app x, with the latter using a new language called uts for cross-platform development.","[""Vue.js"", ""JavaScript"", ""Objective-C"", ""Kotlin"", ""Swift"", ""Java""]","[""Cross-platform development"", ""Single codebase"", ""Multi-platform support""]","[""Cross-platform"", ""Microservices"", ""REST API"", ""Authentication""]",Framework,https://github.com/dcloudio/uni-app
vue2-elm,"A large single page application with 45 pages built on Vue2 and Vuex, implementing a complete workflow including registration, login, product display, shopping cart, and ordering. The project aims to demonstrate a complex and functional application, similar to a food delivery platform.","[""Vue"", ""Vuex"", ""Vue-Router"", ""Webpack"", ""ES6/7"", ""Sass"", ""Flex"", ""SVG""]","[""Registration"", ""Login"", ""Product display"", ""Shopping cart"", ""Ordering""]","[""Single Page Application"", ""State Management"", ""Client-side Routing"", ""Modular Architecture""]",E-commerce,https://github.com/bailicangdu/vue2-elm
vuetify,Vuetify is a Vue Component Framework that provides a set of pre-designed UI components. It is built using TypeScript and follows Material Design principles. The framework aims to simplify the process of creating responsive and visually appealing user interfaces. It is suitable for developing web applications with a consistent and professional look.,"[""TypeScript"", ""JavaScript"", ""Vue""]","[""UI components"", ""Material Design""]","[""UI Kit"", ""Material Design""]",Frontend Framework,https://github.com/vuetifyjs/vuetify
ruoyi-vue-pro,"RuoYi-Vue Pro is a backend management system and WeChat mini-program based on Spring Boot, MyBatis Plus, and Vue. It supports RBAC dynamic permissions, data permissions, SaaS multi-tenancy, Flowable workflow, third-party login, payment, SMS, mall, CRM, ERP, MES, IM, AI large model, and IoT. The project is open-source and has various demo addresses and documentation.","[""Java"", ""Spring Boot"", ""MyBatis Plus"", ""Vue"", ""MySQL"", ""Redis"", ""Redisson"", ""Spring Security""]","[""Backend management system"", ""WeChat mini-program"", ""RBAC dynamic permissions"", ""Data permissions"", ""SaaS multi-tenancy"", ""Flowable workflow"", ""Third-party login"", ""Payment"", ""SMS"", ""Mall"", ""CRM"", ""ERP"", ""MES"", ""IM"", ""AI large model"", ""IoT""]","[""REST API"", ""Authentication"", ""OAuth"", ""Caching"", ""CI/CD""]",Backend Management System,https://github.com/YunaiV/ruoyi-vue-pro
taro,"Taro is an open cross-end cross-framework solution that supports using React/Vue frameworks to develop various applications, including WeChat/Alipay mini-programs, H5, and React Native. It allows for easy construction of applications that can run on multiple platforms. Taro provides a unified development experience across different frameworks and platforms. It aims to simplify the development process for cross-platform applications.","[""TypeScript"", ""JavaScript"", ""React"", ""Vue"", ""React Native"", ""jQuery""]","[""Cross-platform development"", ""Multi-framework support"", ""Unified development experience""]","[""Cross-platform development"", ""Microservices""]",Cross-platform framework,https://github.com/NervJS/taro
tiptap,"Tiptap is a headless rich text editor framework for web artisans, built with TypeScript and compatible with various JavaScript frameworks.","[""TypeScript"", ""JavaScript"", ""React"", ""Vue""]","[""Rich text editing"", ""Headless editor framework""]","[""Renderless components""]",Editor framework,https://github.com/ueberdosis/tiptap
directus,"Directus is a flexible backend that turns your database into a headless CMS, admin panels, or apps with custom UI, instant APIs, auth, and more. It provides a collaborative backend for builders and AI, connecting any SQL database to get instant REST and GraphQL APIs, a visual management studio, and a native MCP server for AI agents.","[""TypeScript"", ""JavaScript"", ""Node"", ""GraphQL"", ""SQL"", ""MySQL"", ""PostgreSQL"", ""MariaDB"", ""MS SQL"", ""SQLite""]","[""Instant REST and GraphQL APIs"", ""Visual management studio"", ""Native MCP server for AI agents""]","[""REST API"", ""GraphQL"", ""API"", ""Headless CMS"", ""Authentication"", ""CI/CD""]",Backend,https://github.com/directus/directus
filebrowser,"File Browser is a web-based file managing interface that allows users to upload, delete, preview, and edit files within a specified directory. It provides a self-hosted file sharing solution with a nice web interface. The project is built using Go and features a material design. It can be used to create a personal cloud storage solution.","[""Go"", ""Vue"", ""Material Design""]","[""File Upload"", ""File Deletion"", ""File Preview"", ""File Editing""]","[""Self-Hosted"", ""File Sharing""]",File Management,https://github.com/filebrowser/filebrowser
YesPlayMusic,"YesPlayMusic is a high-quality, third-party NetEase music player that supports Windows, macOS, and Linux. It is built using Electron and features a progressive web app. The player provides a user-friendly interface for music streaming.","[""Vue"", ""JavaScript"", ""Electron""]","[""Music streaming"", ""Progressive web app"", ""Cross-platform support""]","[""PWA"", ""Electron""]",Music Player,https://github.com/qier222/YesPlayMusic
vue-vben-admin,"A modern Vue admin panel built with Vue3, Shadcn UI, Vite, TypeScript, and Monorepo. It's fast! The project utilizes a range of technologies to provide a efficient and scalable admin template. The tech stack includes Vue, with additional support from various UI libraries. The project is designed to be highly customizable and adaptable to different use cases.","[""Vue"", ""Vue3"", ""TypeScript"", ""Vite"", ""Shadcn UI"", ""Vue Router"", ""Vuex""]","[""Admin template"", ""Monorepo support""]","[""Monorepo"", ""Frontend development""]",Admin panel,https://github.com/vbenjs/vue-vben-admin
docsify,Docsify is a magical documentation site generator that creates a website from markdown files. It is built using JavaScript and can be used to generate documentation for projects. The tool supports various features such as GitHub Pages integration. It provides a simple way to create and manage documentation.,"[""JavaScript"", ""Vue"", ""Markdown""]","[""Documentation site generation"", ""Markdown support"", ""GitHub Pages integration""]","[""Static Site Generation""]",Documentation Tool,https://github.com/docsifyjs/docsify
vue-cli,"Vue CLI is a webpack-based tooling for Vue.js Development, supporting both Vue 2 and Vue 3. It is now in maintenance mode and recommends using create-vue for new projects. Vue CLI provides a way to scaffold projects and migrate to Vite.","[""JavaScript"", ""webpack"", ""Vue.js""]","[""Project scaffolding"", ""Vue 2 and Vue 3 support"", ""Migration to Vite""]","[""Frontend Development"", ""Tooling"", ""Migration""]",Frontend Tooling,https://github.com/vuejs/vue-cli
headlessui,"Headless UI is a set of completely unstyled, fully accessible UI components designed to integrate with Tailwind CSS. It supports frameworks like React and Vue. The project focuses on accessibility and provides a simple way to create custom UI components. It is built using TypeScript.","[""TypeScript"", ""React"", ""Vue"", ""Tailwind CSS""]","[""UI components"", ""Accessibility features""]","[""Accessibility"", ""Components""]",UI Component Library,https://github.com/tailwindlabs/headlessui
vuex,"Vuex is a centralized state management library for Vue.js applications, serving as a state management pattern and library. It has been largely replaced by Pinia, which has an enhanced API and is now the default state management library for Vue. Vuex will still be maintained, but new projects are recommended to use Pinia instead. Vuex provides features like time-travel and works with Vue 2.x.","[""JavaScript"", ""Vue.js""]","[""Centralized State Management"", ""Time-Travel""]","[""State Management""]",Library,https://github.com/vuejs/vuex
table,"A headless UI for building powerful tables and datagrids for TypeScript and JavaScript, supporting React, Vue, Solid, and Svelte. It provides features like filtering, grouping, pagination, and sorting. The project is built using TypeScript and utilizes hooks. It aims to provide a robust and customizable table solution.","[""TypeScript"", ""JavaScript"", ""React"", ""Vue"", ""Solid"", ""Svelte""]","[""datagrids"", ""filtering"", ""grouping"", ""pagination"", ""sorting""]","[""Hooks""]",UI Component,https://github.com/TanStack/table
vhr,"vhr is a human resource management system with a separated front and back end, developed using SpringBoot and Vue. It features a comprehensive set of technologies including Spring Security, MyBatis, and Redis. The system has different menus for different user roles, which are assigned by the system administrator. The project is a basic framework and can be extended for business purposes.","[""Java"", ""Spring Boot"", ""Vue"", ""MyBatis"", ""MySQL"", ""Redis"", ""RabbitMQ"", ""ElementUI"", ""axios"", ""vue-router"", ""Vuex""]","[""User role-based system menu"", ""Login functionality"", ""System administrator role management""]","[""REST API"", ""Authentication"", ""Caching"", ""WebSocket""]",Human Resource Management System,https://github.com/lenve/vhr
element-plus,"Element Plus is a Vue.js 3 UI library made by the Element team, utilizing the Vue 3 Composition API and written in TypeScript.","[""TypeScript"", ""Vue.js""]","[""UI components""]","[""Component Library""]",UI Library,https://github.com/element-plus/element-plus
Daily-Interview-Question,"A repository containing daily interview questions for front-end development, focusing on JavaScript, React, and Vue. It provides a collection of problems to help developers prepare for big company interviews. The project aims to assist developers in improving their skills and knowledge. It is maintained by a public account called '高级前端进阶'.","[""JavaScript"", ""React"", ""Vue"", ""CSS""]","[""Interview questions"", ""Front-end development problems""]","[""Front-end development""]",Interview preparation,https://github.com/Advanced-Frontend/Daily-Interview-Question
quasar,"Quasar Framework is a high-performance VueJS framework for building user interfaces. It supports various app types, including Single Page Apps, SSR Apps, PWAs, Browser extensions, Hybrid Mobile Apps, and Electron Apps. Quasar allows for responsive and fast development using a single codebase. It is designed to work with VueJS and provides a set of tools for building high-quality user interfaces.","[""JavaScript"", ""VueJS""]","[""Responsive Single Page Apps"", ""SSR Apps"", ""PWAs"", ""Browser extensions"", ""Hybrid Mobile Apps"", ""Electron Apps""]","[""Server-side Rendering"", ""Progressive Web Apps"", ""Material Design""]",Frontend Framework,https://github.com/quasarframework/quasar
PicGo,"PicGo is an image uploader that supports 60+ image hosting services and integrates with various applications such as Obsidian, Typora, and VS Code. It allows users to paste and upload images efficiently. The project is built using TypeScript and utilizes various technologies such as Electron and Vue. It provides a convenient solution for creators to manage their images.","[""TypeScript"", ""Electron"", ""Vue""]","[""Image uploading"", ""Support for 60+ image hosting services"", ""Integration with Obsidian, Typora, and VS Code""]","[""Cloud Storage""]",Productivity Tool,https://github.com/Molunerfinn/PicGo
fe-interview,"A repository containing over 6000 front-end interview questions, covering topics such as HTML, CSS, JavaScript, Vue, React, and Nodejs. The project aims to drive learning through daily interview questions, with a focus on progress and improvement. It is designed for front-end developers to practice and prepare for interviews.","[""JavaScript"", ""HTML"", ""CSS"", ""Vue"", ""React"", ""Nodejs"", ""TypeScript"", ""Webpack"", ""Jquery""]","[""Interview questions"", ""Daily learning"", ""Front-end development""]","[""Front-end development"", ""Web development""]",Interview preparation,https://github.com/haizlin/fe-interview
dashy,"A self-hostable personal dashboard with features like status-checking, widgets, themes, and a UI editor. It is built for self-hosters and homelab users, offering high customizability. The dashboard is designed to be the homepage for a homelab, providing a centralized interface for organization and productivity.","[""Vue"", ""NodeJS"", ""Docker""]","[""status-checking"", ""widgets"", ""themes"", ""UI editor""]","[""Self-hosted"", ""PWA"", ""Docker""]",Dashboard,https://github.com/lissy93/dashy
ai,"The AI Toolkit for TypeScript is a free open-source library for building AI-powered applications and agents. It provides a unified API to interact with model providers like OpenAI. The library is designed to work with various frameworks such as React, Svelte, and Vue. It is created by the creators of Next.js.","[""TypeScript"", ""JavaScript"", ""React"", ""Svelte"", ""Vue""]","[""Unified API"", ""AI-powered applications"", ""Model providers integration""]","[""Artificial Intelligence"", ""Machine Learning"", ""API""]",AI Library,https://github.com/vercel/ai
gin-vue-admin,"A foundation development platform with AI assistance, using Vite, Vue3, and Gin. It provides an enterprise-level business AI+ development solution with built-in MCP auxiliary services and skills management. The platform supports TS and JS mixed use and includes features such as JWT authentication, permission management, and dynamic routing.","[""Go"", ""Vue3"", ""Vite"", ""Gin"", ""Gorm"", ""JWT"", ""Element-UI""]","[""AI assistance"", ""MCP auxiliary services"", ""Skills management"", ""JWT authentication"", ""Permission management"", ""Dynamic routing""]","[""REST API"", ""Authentication"", ""JWT"", ""Permission management"", ""CI/CD""]",Admin Platform,https://github.com/flipped-aurora/gin-vue-admin
devtools-v6,"A browser devtools extension for debugging Vue.js applications, built with a new version of Devtools.","[""TypeScript""]","[""Debugging Vue.js applications"", ""Public devtools API""]","[""Browser Extension"", ""Debugging""]",Browser Extension,https://github.com/vuejs/devtools-v6
vant,"Vant is a lightweight, customizable Vue UI library for mobile web apps. It features an average component size of 1KB, over 80 high-quality components, and zero third-party dependencies. The library has a high unit test coverage of 90%+. It is designed for mobile web apps and provides a range of customizable UI components.","[""TypeScript"", ""Vue""]","[""Lightweight UI components"", ""Customizable"", ""High-quality components"", ""Zero third-party dependencies""]","[""UI Kit"", ""Component-based architecture""]",UI Library,https://github.com/youzan/vant
iview,"iView is a high-quality UI Toolkit built on Vue.js 2.0, providing a set of reusable UI components for frontend development. It is designed to help developers create consistent and visually appealing user interfaces. The toolkit is built using Vue.js and provides a range of components and design systems. It is suitable for building complex and scalable frontend applications.","[""Vue.js"", ""JavaScript"", ""CSS""]","[""UI components"", ""Design systems"", ""Reusable components""]","[""Frontend development"", ""UI design""]",UI Toolkit,https://github.com/iview/iview
laravel-crm,A free and open-source Laravel CRM solution for managing the complete customer lifecycle in SMEs and Enterprises.,"[""Laravel"", ""Blade"", ""PHP"", ""Vue"", ""VueJS""]","[""Customer Lifecycle Management"", ""Multi-tenant SaaS""]","[""CRM"", ""Multi-tenancy"", ""SaaS""]",CRM Application,https://github.com/krayin/laravel-crm
lucide,"Lucide is a beautiful and consistent icon toolkit made by the community, forked from Feather Icons. It is an open-source project that provides a set of icons for use in various applications. The project utilizes a range of technologies to provide a comprehensive icon set. The icons are available in SVG format and can be used with popular frameworks like React and Vue.","[""TypeScript"", ""React"", ""Vue"", ""SVG""]","[""Icon toolkit"", ""SVG icons"", ""UI components""]","[""UI design""]",Icon toolkit,https://github.com/lucide-icons/lucide
prompts.chat,"A free and open-source platform for sharing, discovering, and collecting prompts from the community, with complete privacy for self-hosted organizations. It works with various AI models, including ChatGPT, Claude, and Gemini. The platform is a large open-source prompt library for AI. It was formerly known as Awesome ChatGPT Prompts.","[""HTML"", ""NextJS"", ""TypeScript""]","[""Prompt sharing"", ""Discovery"", ""Collection"", ""Self-hosting""]","[""AI"", ""Machine Learning"", ""Open-source""]",AI Prompt Library,https://github.com/f/prompts.chat
dify,"Dify is a production-ready platform for agentic workflow development, utilizing a range of technologies including TypeScript, Next.js, and Python. It is designed for automation, orchestration, and low-code/no-code development. The platform also incorporates AI technologies such as OpenAI and GPT-4. It aims to provide a comprehensive solution for workflow development.","[""TypeScript"", ""Next.js"", ""Python""]","[""Agentic workflow development"", ""Automation"", ""Orchestration"", ""Low-code/No-code development""]","[""REST API"", ""RAG"", ""Automation"", ""Orchestration""]",Workflow Automation Platform,https://github.com/langgenius/dify
supabase,"Supabase is a Postgres development platform that provides a dedicated Postgres database to build web, mobile, and AI applications. It offers features such as hosted Postgres database, authentication and authorization, auto-generated APIs, and realtime subscriptions. Supabase aims to provide the features of Firebase using enterprise-grade open source tools. It supports various technologies including REST, GraphQL, and edge functions.","[""TypeScript"", ""Postgres"", ""PostgreSQL""]","[""Hosted Postgres Database"", ""Authentication and Authorization"", ""Auto-generated APIs"", ""Realtime subscriptions"", ""Functions""]","[""REST API"", ""Authentication"", ""OAuth"", ""Realtime"", ""Database Functions"", ""Edge Functions"", ""GraphQL""]",Database Platform,https://github.com/supabase/supabase
coolify,"Coolify is an open-source, self-hostable PaaS alternative to Vercel, Heroku, and Netlify. It allows easy deployment of static sites, databases, full-stack applications, and 280+ one-click services on own servers. Coolify provides the ease of a cloud but with own servers, eliminating vendor lock-in. It helps manage servers, applications, and databases on own hardware via SSH connection.","[""PHP"", ""NodeJS"", ""Laravel"", ""InertiaJS"", ""NextJS"", ""Svelte"", ""MySQL"", ""MariaDB"", ""Postgres"", ""Redis"", ""Docker"", ""Docker-Compose""]","[""Static site deployment"", ""Database deployment"", ""Full-stack application deployment"", ""One-click services"", ""Server management"", ""Application management""]","[""Self-hosting"", ""PaaS"", ""Deployment"", ""Docker"", ""CI/CD"", ""Microservices""]",PaaS,https://github.com/coollabsio/coolify
cal.diy,"Cal.diy is an open-source scheduling infrastructure for personal, non-production use. It is intended for self-hosting and requires advanced knowledge of server administration, database management, and securing sensitive data. The project is built using the T3 stack and utilizes various technologies such as Next.js, Prisma, and PostgreSQL. It is not recommended for commercial or enterprise use.","[""TypeScript"", ""Next.js"", ""PostgreSQL"", ""Prisma"", ""Tailwind CSS"", ""TRPC"", ""Turborepo"", ""Zod""]","[""Scheduling infrastructure"", ""Self-hosting capabilities""]","[""Authentication"", ""REST API""]",Scheduling platform,https://github.com/calcom/cal.diy
Open-Assistant,"Open-Assistant is a chat-based assistant that understands tasks, interacts with third-party systems, and retrieves information dynamically. It utilizes machine learning and language models to achieve this functionality. The project is now completed and the final published dataset is available. The assistant can be used in various applications such as discord bots.","[""Python"", ""Next.js""]","[""Chat-based interaction"", ""Task understanding"", ""Third-party system integration"", ""Dynamic information retrieval""]","[""Machine Learning"", ""Language Model"", ""AI""]",AI Assistant,https://github.com/LAION-AI/Open-Assistant
dokploy,"Dokploy is a free, self-hostable Platform as a Service (PaaS) that simplifies the deployment and management of applications and databases. It supports various programming languages and databases, and offers features such as automated backups and Docker Compose support. Dokploy is an open-source alternative to Vercel, Netlify, and Heroku. It aims to make deployment and management easier for developers.","[""TypeScript"", ""Node.js"", ""PHP"", ""Python"", ""Go"", ""Ruby"", ""MySQL"", ""PostgreSQL"", ""MongoDB"", ""MariaDB"", ""Redis"", ""Docker""]","[""Application deployment"", ""Database management"", ""Automated backups"", ""Docker Compose support""]","[""PaaS"", ""Deployment"", ""CI/CD"", ""Docker"", ""Microservices"", ""Backups"", ""Database management""]",PaaS,https://github.com/Dokploy/dokploy
refine,"Refine is a React framework for building internal tools, admin panels, dashboards, and B2B apps with flexibility. It provides a headless solution for CRUD-heavy applications, sitting between low/no code and starting from scratch. Refine Core is an open-source, React meta-framework for enterprise.","[""React"", ""TypeScript"", ""JavaScript"", ""GraphQL"", ""NestJS"", ""NextJS"", ""Ant Design""]","[""Admin panels"", ""Dashboards"", ""Internal tools"", ""CRUD operations"", ""Headless solution""]","[""Frontend framework"", ""React meta-framework"", ""Headless"", ""Low-code""]",Frontend framework,https://github.com/refinedev/refine
swr,"SWR is a React Hooks library for data fetching, utilizing a cache invalidation strategy. It provides a simple way to fetch data in React applications. The library is built with TypeScript and supports various React frameworks such as Next.js and React Native. It also implements features like suspense and stale-while-revalidate.","[""TypeScript"", ""React"", ""Next.js"", ""React Native""]","[""Data Fetching"", ""Caching"", ""Suspense"", ""Stale-while-revalidate""]","[""Caching"", ""React Hooks""]",Library,https://github.com/vercel/swr
postiz-app,"Postiz is an open-source social media scheduling tool built with AI capabilities, allowing users to manage their social media posts efficiently.","[""TypeScript"", ""Next.js"", ""Redis""]","[""Social media scheduling"", ""AI-powered post management""]","[""Scheduling""]",Social Media Tool,https://github.com/gitroomhq/postiz-app
homepage,"A highly customizable homepage with Docker and service API integrations, built using JavaScript and featuring a modern, static, and secure architecture. It supports over 100 service integrations and multiple language translations. Configuration is easy via YAML files or Docker label discovery.","[""JavaScript"", ""Next.js"", ""React"", ""Node"", ""Docker""]","[""Customizable dashboard"", ""Service API integrations"", ""Multi-language support""]","[""Docker"", ""API Integrations"", ""Static Site Generation""]",Web Application,https://github.com/gethomepage/homepage
onyx,"Onyx is an open-source AI platform that provides an AI chat with advanced features, compatible with every large language model (LLM). It offers functionalities such as enterprise search, information retrieval, and vector search. The platform is self-hosted and has a user interface. Onyx utilizes AI and machine learning technologies to provide its features.","[""Python"", ""Next.js""]","[""AI Chat"", ""Enterprise Search"", ""Information Retrieval"", ""Vector Search""]","[""REST API"", ""RAG"", ""Vector Search"", ""Machine Learning""]",AI Platform,https://github.com/onyx-dot-app/onyx
hey-1,"Hey is a decentralized and permissionless social media app built with Lens Protocol. It utilizes a range of technologies including blockchain, crypto, and web3. The project is developed using a monorepo structure with pnpm workspaces. The app is built with a focus on decentralization and permissionless access.","[""TypeScript"", ""GraphQL"", ""Next.js"", ""React"", ""Tailwind CSS"", ""Turborepo"", ""Vitest"", ""Wagmi"", ""Postgres""]","[""Decentralized social media platform"", ""Permissionless access"", ""Monorepo structure""]","[""Blockchain"", ""Crypto"", ""Web3"", ""Dapp"", ""Microservices""]",Social Media App,https://github.com/slymnoyann/hey-1
create-t3-app,"An interactive CLI to start a full-stack, typesafe Next.js app. It provides a quick way to get started with a new project. The project utilizes a range of technologies to provide a robust foundation. It is designed to be easy to use and highly customizable.","[""TypeScript"", ""Next.js"", ""Prisma"", ""Tailwind CSS"", ""NPX""]","[""Interactive CLI"", ""Full-stack setup"", ""Typesafe""]","[""CLI"", ""Full-stack development""]",Full-stack boilerplate,https://github.com/t3-oss/create-t3-app
sim,"Sim is an open-source AI workspace where teams build, deploy, and manage AI agents. It allows building conversationally, visually, or with code and connects 1,000+ integrations and every major LLM to automate real work.","[""TypeScript"", ""Next.js"", ""React""]","[""AI agent management"", ""Conversational building"", ""Visual building"", ""Code-based building"", ""Integration with 1,000+ services and major LLMs""]","[""AI"", ""Automation"", ""RAG"", ""Low-code"", ""No-code""]",AI Workspace,https://github.com/simstudioai/sim
FastGPT,"FastGPT is a knowledge-based platform built on Large Language Models (LLMs), offering data processing, RAG retrieval, and visual AI workflow orchestration for developing and deploying complex question-answering systems. It provides an out-of-the-box suite of capabilities, eliminating the need for extensive setup or configuration. The platform supports multiple languages and can be used to implement various AI-powered applications.","[""TypeScript"", ""Next.js""]","[""Data processing"", ""RAG retrieval"", ""Visual AI workflow orchestration"", ""Question-answering systems""]","[""LLMs"", ""RAG"", ""Workflow orchestration"", ""Machine Learning""]",AI Platform,https://github.com/labring/FastGPT
next-auth,"Next-Auth is an authentication solution for the web, providing a full-stack authentication system. It supports various frameworks such as Next.js, Nuxt, and React. The project is open-source and allows users to own their data. It provides authentication for web applications using various protocols.","[""TypeScript"", ""Next.js"", ""Node.js"", ""React"", ""Nuxt"", ""Sveltekit""]","[""Authentication"", ""CSRF Protection"", ""JWT Support"", ""OAuth 2.0 Support""]","[""Authentication"", ""OAuth"", ""JWT"", ""CSRF Protection""]",Authentication Framework,https://github.com/nextauthjs/next-auth
Resume-Matcher,"Resume Matcher is a tool that helps improve resumes by providing insights, keyword suggestions, and tuning them to job descriptions using AI-powered suggestions. It works locally or connects to LLM providers via API. The tool utilizes natural language processing and machine learning to provide tailored resume suggestions. It supports multiple languages.","[""TypeScript"", ""Next.js"", ""Python""]","[""AI-powered suggestions"", ""Keyword suggestions"", ""Resume tuning"", ""LLM provider API connection""]","[""Machine Learning"", ""Natural Language Processing"", ""Vector Search"", ""API""]",Resume Builder,https://github.com/srbhr/Resume-Matcher
signoz,"SigNoz is an open-source observability platform that provides logs, traces, and metrics in a single application, offering a cost-effective alternative to DataDog and NewRelic. It is designed for application performance monitoring and observability. SigNoz is native to OpenTelemetry and provides a self-hosted solution. It helps users monitor their applications, spot issues, and troubleshoot downtime quickly.","[""TypeScript"", ""React"", ""Next.js"", ""Go"", ""Prometheus"", ""OpenTelemetry"", ""Jaeger""]","[""Logs"", ""Traces"", ""Metrics"", ""Application Performance Monitoring"", ""Distributed Tracing""]","[""Observability"", ""Application Performance Monitoring"", ""OpenTelemetry"", ""Distributed Tracing"", ""Monitoring""]",Observability Platform,https://github.com/SigNoz/signoz
karakeep,"A self-hostable bookmark-everything app with AI-based automatic tagging and full text search, allowing users to store links, notes, and images.","[""TypeScript"", ""Next.js"", ""React Native""]","[""Bookmark management"", ""AI-based tagging"", ""Full text search""]","[""Full text search"", ""AI"", ""Self-hosted""]",Productivity App,https://github.com/karakeep-app/karakeep
onlook,"Onlook is an open-source AI-first design tool that allows designers to visually build, style, and edit their React app with AI. It aims to make designing on top of a codebase effortless. The tool is currently in early access and enables crafting exceptional experiences with AI in code.","[""TypeScript"", ""React"", ""Next.js"", ""Tailwind CSS"", ""Supabase""]","[""AI-powered design"", ""Visual editing"", ""Codebase integration""]","[""AI"", ""Low-code"", ""Design-to-code"", ""Frontend development""]",Design tool,https://github.com/onlook-dev/onlook
mastra,"Mastra is a modern TypeScript framework for building AI-powered applications and agents. It provides a foundation for developing chatbots, agents, and other AI-driven solutions. The framework is built using TypeScript and supports various technologies such as Next.js, React.js, and Node.js. Mastra enables the creation of intelligent applications with features like text-to-speech and language models.","[""TypeScript"", ""JavaScript"", ""Next.js"", ""React.js"", ""Node.js""]","[""AI-powered applications"", ""Chatbots"", ""Text-to-speech"", ""Language models""]","[""AI"", ""Machine Learning"", ""REST API""]",AI Framework,https://github.com/mastra-ai/mastra
dub,"Dub is a modern link attribution platform used by world-class marketing teams. It is built using a variety of technologies and is open-source. The platform provides a solution for link attribution and is self-hostable. Dub is loved by companies like Framer, Perplexity, and Twilio.","[""TypeScript"", ""Next.js"", ""Prisma"", ""Tailwind CSS"", ""Clickhouse"", ""MySQL"", ""Vercel"", ""Upstash"", ""Planetscale"", ""Tinybird""]","[""Link attribution"", ""Self-hosting""]","[""Open-source"", ""CI/CD""]",Marketing platform,https://github.com/dubinc/dub
readest,"Readest is a modern ebook reader offering cross-platform access, powerful tools, and an intuitive interface. It provides an immersive reading experience with features like sync and tts. The project is designed for avid readers and supports various ebook formats. It is built as a modern rewrite of Foliate.","[""TypeScript"", ""Next.js"", ""Tauri""]","[""Cross-platform access"", ""Powerful tools"", ""Intuitive interface"", ""Sync"", ""TTS"", ""Ebook format support""]","[""Cross-platform""]",Ebook Reader,https://github.com/readest/readest
ai-website-cloner-template,"A reusable template for reverse-engineering any website into a clean, modern Next.js codebase using AI coding agents. It clones a website with one command, inspecting the site, extracting design tokens and assets, writing component specs, and reconstructing the site. The template is recommended to be used with Claude Code for best results. It supports various AI coding agents.","[""TypeScript"", ""Next.js"", ""React"", ""Tailwind CSS""]","[""Website cloning"", ""Reverse-engineering"", ""AI coding agents integration""]","[""Automation"", ""Web scraping"", ""AI"", ""Machine Learning""]",Developer Tools,https://github.com/JCodesMore/ai-website-cloner-template
magicui,"Magic UI is a free and open-source UI library for design engineers, providing animated components and effects that can be easily integrated into apps.","[""React"", ""Next.js"", ""TypeScript"", ""Tailwind CSS"", ""Framer Motion"", ""MDX""]","[""Animated components"", ""Copy and paste effects""]","[""UI Library"", ""Frontend Development""]",UI Component Library,https://github.com/magicuidesign/magicui
dyad,"Dyad is a local, open-source AI app builder that is fast, private, and fully under the user's control. It is an alternative to Lovable, v0, or Bolt, but runs on the user's machine. Dyad is designed for power users and is similar to other AI app builders such as Replit. It is built using a range of technologies including TypeScript and Next.js.","[""TypeScript"", ""Next.js"", ""React""]","[""AI app building"", ""Local deployment"", ""Private and controlled environment""]","[""Artificial Intelligence"", ""Generative AI""]",AI App Builder,https://github.com/dyad-sh/dyad
